ISBN	Title	Annotation	AR_Level	AR_Points	Author	Binding	Grade_Level	Illustrator	Interest_Level_Minimum	Interest_Level_Maximum	Lexile_0-1200	List_Price	Fiction_Nonfiction_F_NF	Page_Count	Publication_Date	Publisher	Reading_Level	Reading_Recovery_Level	Spanish_Y_N	Teachers_College	Word_Count	Guided_Reading_Level	Location	Genre	Condition	Unique_ID
	Ek Minuter Moddhe					          						5.0000	F	8		Brac	3		N				 - None - 	 - None - 	New	308413
	Daarhkinaar Biye					          						5.0000	F	8		Brac	2		N				 - None - 	 - None - 	New	208377
	Daarhkinaar Biye					          						5.0000	F	8		Brac	2		N				 - None - 	 - None - 	New	208376
9789843402271	Aami Jaa Kori				Muniraa Saifuddin	          						5.0000	F			Ignite Publications Limited	1		N				 - None - 	 - None - 	Good	118017
8943000005429	Ujaairer Gaadhaa				Saniyasnain Khan    	          						5.0000	NF	24		Bangla Prokaash	5		N				 - None - 	Religious	Good	511006
	Rubi O Saap					          						5.0000	F	10		Brac	2		N				 - None - 	 - None - 	New	208432
9789383202409	Ganesha					          						5.0000	NF				1		N				 - None - 	 - None - 	Good	111004
	Dui Bon				Limiyaa Dewaan & Jeeshaan Rahman	          						10.0000	F	10		Brac	2		N				 - None - 	 - None - 	New	308022
9843000007959	Saabaar Baagaan				Saniyasnain Khan    	          						5.0000	NF	24		Bangla Prokaash	5		N				 - None - 	Religious	Good	511019
9781595726605	Aamaar Facebok	Shows photographs of babies conveying their emotions through facial expressions. Bengali and English bilingual text.			Star Bright Books	          			P	K		5.0000	F	12	9/1/2013	Star Bright Books	1		N			  	 - None - 	 - None - 	Good	118008
	Tusir Aamgaachh				Limiyaa Dewaan	          						10.0000	F	16		Brac	3		N				 - None - 	 - None - 	New	308011
9848494928	Maayer Notun Fuldaani				Von Oi Chin	          						5.0000	F	12		World's of Children's Books Limited	2		N				 - None - 	 - None - 	Good	218040
9848494928	Maayer Notun Fuldaani				Von Oi Chin	          						5.0000	F	12		World's of Children's Books Limited	2		N				 - None - 	 - None - 	Good	218039
9848494928	Maayer Notun Fuldaani				Von Oi Chin	          						5.0000	F	12		World's of Children's Books Limited	2		N				 - None - 	 - None - 	Good	218038
9848494928	Maayer Notun Fuldaani				Von Oi Chin	          						5.0000	F	12		World's of Children's Books Limited	2		N				 - None - 	 - None - 	Good	218037
9848494928	Maayer Notun Fuldaani				Von Oi Chin	          						5.0000	F	12		World's of Children's Books Limited	2		N				 - None - 	 - None - 	Good	218042
9848494928	Maayer Notun Fuldaani				Von Oi Chin	          						5.0000	F	12		World's of Children's Books Limited	2		N				 - None - 	 - None - 	Good	218041
9848494928	Maayer Notun Fuldaani				Von Oi Chin	          						5.0000	F	12		World's of Children's Books Limited	2		N				 - None - 	 - None - 	Good	218036
9848494014	Baabaa o Aami. Level-1 Book-2				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	2		N				 - None - 	 - None - 	Good	218013
9848494014	Baabaa o Aami. Level-1 Book-2				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	2		N				 - None - 	 - None - 	Good	218012
9848494014	Baabaa o Aami. Level-1 Book-2				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	2		N				 - None - 	 - None - 	Good	218011
9848494014	Baabaa o Aami. Level-1 Book-2				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	2		N				 - None - 	 - None - 	Good	218010
9848494014	Baabaa o Aami. Level-1 Book-2				Lorraine Li	          						5.0000	F	16		World's of Children's Books Limited	2		N				 - None - 	 - None - 	Good	218009
	Fuler Haasi					          						5.0000	F	8		Brac	2		N				 - None - 	 - None - 	New	208331
	Meenaa ki School Chhere Dibe				Animation 	          						10.0000	F	26		Brac	4		N				 - None - 	 - None - 	New	403415
